State,County,Filename
Florida,Dixie,FRD_12029C_GeoTIFF
Virginia,Essex,FRD_51057C_GeoTIFFs
North Carolina,Camden,none
Maine,Knox,FRD_23013C_GeoDatabase
Maine,Hancock,none (was too big to deal with)
Washington,Pacific,none
Delaware,Kent,FRD_10005C_GeoTIFFS
Rhode Island,Newport,none
New Jersey,Salem,FRD_Coastal_34033_GeoTIFF
South Carolina,Beaufort,FRD_45053C_GeoTIFFS
Georgia,Chatham,FRD_ChathamCo_13051C_GeoTiffs
California,Solano,none
Maryland,Anne Arundel,FRD_24003C_Coastal_GeoTIFFs_20150909
California,San Mateo,FRD_06081C_Geodatabase
California,San Diego,FRD_06073C_GeoTIFFS
