Site,below 5 percent,5-10%,10-50%,over 50%,Undefined
D01_BART_R1_P1_v1,3500100,950400,2486700,391500,186436800
D01_HARV_C1_P1_v1,10706400,2388600,8129700,985500,535944600
D01_HOPB_C1_P2_v1,1030500,249300,523800,43200,33760800
D02_BLAN_R2_P1_v1,7369200,1385100,3960000,387000,195491700
D02_SCBI_C1_P1_v1,8514900,1953900,9154800,2192400,143434800
D02_SERC_R1_P1_v1,8097300,2871900,13147200,2718900,138415500
D03_DSNY_R1_P1_v1,7713900,2461500,11823300,3086100,187198200
D03_JERC_R2_P1_v1,6080400,3166200,6721200,229500,493055100
D03_OSBS_C1_P1_v1,11823300,6590700,9694800,529200,317878200
D04_CUPE_A1_P1_v1,45900,12600,160200,14400,15156900
D04_GUAN_C1_P1_v1,414000,669600,7813800,4856400,112025700
D04_GUIL_A2_P1_v1,21600,12600,219600,25200,19814400
D04_LAJA_R1_P1_v6,909000,751500,7585200,2150100,277093800
D05_CHEQ_R2_P1_v2,1583100,87300,124200,4500,81096300
D05_LIRO_A1_P2_v1,497700,60300,155700,0,14676300
D05_STEI_TREE_R1_P1_v2,6399900,2070900,3681000,23400,390765600
D05_UNDE_C1_P1_v1,12938400,1038600,598500,9000,294192900
D06_KONZ_KONA_C1_P1_v2,2240100,1248300,10874700,4911300,477513000
D06_MCDI_C1_P2_v1,688500,370800,788400,0,67048200
D06_UKFS_R1_P1_v2,3980700,2353500,12421800,5122800,207395100
D07_GRSM_R1_P1_all_v1,7024500,827100,1509300,1511100,1165284000
D07_MLBS_R1_P1_v5,4127400,379800,405900,21600,205361100
D07_ORNL_C1_P1_v8,7389000,3136500,16396200,11070900,429747300
D08_DELA_R1_P1_v1,2655000,1301400,7147800,2545200,138860100
D08_LENO_R2_P1_v1,1829700,270000,271800,900,136630800
D08_TALL_C1_P1_v1,6444900,429300,207000,900,167994900
D09_NOGP_R2_P1_v1,7052400,2363400,12347100,6914700,184336200
D09_WOOD_DCFS_C1_P1_v2,4753800,3605400,4599900,65700,733455000
D10_ARIK_A1_P2_v2,5104800,732600,270900,0,311213700
D10_CPER_C1_P1_v1,1512900,343800,279900,0,172499400
D10_RMNP_R2_P1_v1,4443300,689400,1714500,181800,281131200
D10_STER_R1_P1,4023900,990000,846000,3600,166795200
D11_BLUE_A2_P1_v1,13760100,4166100,6975900,1028700,995904000
D11_CLBJ_C1_P1_v2,4835700,1461600,2883600,288000,176406300
D11_OAES_R1_P1_v2,8915400,560700,2235600,723600,308492100
D11_PRIN_C1_P2_v2,1656900,649800,1729800,87300,148273200
D12_YELL_C1_P1_v2,3003300,204300,204300,4500,640695600
D13_MOAB_R1_P1_v2,1743300,296100,567000,0,159955200
D13_NIWO_C1_P1_v2,1543500,429300,1337400,56700,228286800
D13_WLOU_A1_P1_v1,456300,195300,73800,0,29700900
D14_JORN_R1_P1_v3,6995700,266400,144000,900,712458000
D14_SRER_C1_P1_v3,9077400,763200,1238400,180000,688078800
D15_ONAQ_C1_P1_v2,990900,273600,1320300,54900,251659800
D15_REDB_A1_P1_v1,171900,0,900,0,53336700
D16_ABBY_R2_P1_v1,8880300,1054800,1967400,99900,256010400
D16_MCRA_A2_P1_v1,648000,27900,34200,0,15570900
D16_WREF_C1_P1_v2,10530000,520200,8852400,125100,558564300
D17_SJER_C1_P1_v2,4838400,817200,860400,85500,150649200
D17_SOAP_R1_P1_v2,10271700,467100,222300,4500,146285100
D17_TEAK_R2_P1_v3,13941000,921600,1451700,134100,269824500
D20_PUUM_C1_P1_v3,1001700,1603800,538200,24300,264358800
