Site,Barren Land (Rock/Sand/Clay),Cultivated Crops,Deciduous Forest,Developed High Intensity,"Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Dwarf Scrub,Emergent Herbaceous Wetlands,Evergreen Forest,Grassland/Herbaceous,Mixed Forest,Open Water,Pasture/Hay,Perennial Ice/Snow,Sedge/Herbaceous,Shrub/Scrub,Woody Wetlands,all_developed
D18_BARR_R1_P1_v2,46.3293,0,0,0,33.4035,21.1662,0.5868,0,197.7408,0,0,0,685.6587,0,88.9659,874.2897,0,0,55.156499999999994
D07_ORNL_C1_P1_v8,0.6516,0.0225,165.753,4.0329,12.2166,7.3314,14.4117,0,0.1413,8.9676,4.1607,18.0396,23.7168,26.4618,0,0,1.7316,5.8023,37.992599999999996
D03_OSBS_C1_P1_v1,1.6983,0.0594,2.2347,0.0792,2.8395,0.4905,25.2288,0,12.4155,86.9553,5.1642,0.0414,10.4283,27.0594,0,0,25.4331,22.6035,28.637999999999998
D09_NOGP_R2_P1_v1,0.0486,51.7014,2.8521,1.5417,8.9505,5.6583,12.4254,0,1.0377,0,114.6294,9e-4,2.4777,4.9419,0,0,0.2574,6.4908,28.5759
D02_SERC_R1_P1_v1,0.0765,13.4712,58.3929,0.6084,8.5752,2.2374,15.4143,0,1.3743,0.441,0.3366,8.8236,26.586,12.6198,0,0,1.7595,14.5341,26.8353
D11_BLUE_A2_P1_v1,3.5721,3.7431,214.8867,0.1233,3.4812,0.954,21.3723,0,0.1683,0.1107,573.8742,0.0873,5.4405,143.3016,0,0,7.641,0.0063,25.930799999999998
D03_DSNY_R1_P1_v1,0.081,0.0063,0.2052,0.4284,7.9254,2.8485,13.8825,0,6.3648,4.0014,0.6732,2.0907,7.7544,18.873,0,0,6.9453,105.7392,25.0848
D06_UKFS_R1_P1_v2,0.0999,37.8009,43.8102,1.2744,8.6355,4.0032,9.9657,0,0.3996,0.1296,1.9224,2.2923,2.6298,70.65,0,0,0.1314,1.2906,23.8788
D01_HARV_C1_P1_v1,0.864,0.3105,121.1661,0.0927,5.2362,0.9729,15.9084,0,4.2084,87.1029,7.3233,159.8274,37.5777,11.3454,0,0,4.0563,54.288,22.2102
D02_SCBI_C1_P1_v1,0.0018,0.0045,115.7652,0.6399,6.3495,1.6587,13.1679,0,0,0.9009,0.9918,11.2257,0.1611,14.112,0,0,0.2052,0.0666,21.816
